Iterations,Error
1719,0.388057
1720,0.388057
1721,0.388057
1722,0.388057
1723,0.388057
1724,0.388057
1725,0.388057
1726,0.388057
1727,0.388058
1728,0.388058
1729,0.388058
1730,0.388058
1731,0.388058
1732,0.388058
1733,0.388058
1734,0.388058
1735,0.388058
1736,0.388058
1737,0.388058
1738,0.388058
1739,0.388058
1740,0.388059
1741,0.388059
1742,0.388059
1743,0.388059
1744,0.388059
1745,0.388059
1746,0.388059
1747,0.388059
1748,0.388059
1749,0.388059
1750,0.388059
1751,0.388059
1752,0.38806
1753,0.38806
1754,0.38806
1755,0.38806
1756,0.38806
1757,0.38806
1758,0.38806
1759,0.38806
1760,0.38806
1761,0.38806
1762,0.38806
1763,0.38806
1764,0.38806
1765,0.388061
1766,0.388061
1767,0.388061
1768,0.388061
1769,0.388061
1770,0.388061
1771,0.388061
1772,0.388061
1773,0.388061
1774,0.388061
1775,0.388061
1776,0.388061
1777,0.388061
1778,0.388062
1779,0.388062
1780,0.388062
1781,0.388062
1782,0.388062
1783,0.388062
1784,0.388062
1785,0.388062
1786,0.388062
1787,0.388062
1788,0.388062
1789,0.388062
1790,0.388062
1791,0.388063
1792,0.388063
1793,0.388063
1794,0.388063
1795,0.388063
1796,0.388063
1797,0.388063
1798,0.388063
1799,0.388063
1800,0.388063
1801,0.388063
1802,0.388063
1803,0.388064
1804,0.388064
1805,0.388064
1806,0.388064
1807,0.388064
1808,0.388064
1809,0.388064
1810,0.388064
1811,0.388064
1812,0.388064
1813,0.388064
1814,0.388064
1815,0.388064
1816,0.388065
1817,0.388065
1818,0.388065
1819,0.388065
1820,0.388065
1821,0.388065
1822,0.388065
1823,0.388065
1824,0.388065
1825,0.388065
1826,0.388065
1827,0.388065
1828,0.388065
1829,0.388066
1830,0.388066
1831,0.388066
1832,0.388066
1833,0.388066
1834,0.388066
1835,0.388066
1836,0.388066
1837,0.388066
1838,0.388066
1839,0.388066
1840,0.388066
1841,0.388066
1842,0.388067
1843,0.388067
1844,0.388067
1845,0.388067
1846,0.388067
1847,0.388067
1848,0.388067
1849,0.388067
1850,0.388067
1851,0.388067
1852,0.388067
1853,0.388067
1854,0.388067
1855,0.388068
1856,0.388068
1857,0.388068
1858,0.388068
1859,0.388068
1860,0.388068
1861,0.388068
1862,0.388068
1863,0.388068
1864,0.388068
1865,0.388068
1866,0.388068
1867,0.388069
1868,0.388069
1869,0.388069
1870,0.388069
